87.236.176.105 - - [26/Sep/2023:00:49:18 +0900] "GET / HTTP/1.1" 404 750
87.251.64.11 - - [26/Sep/2023:03:09:45 +0900] "-" 400 2129
162.243.143.18 - - [26/Sep/2023:03:24:23 +0900] "-" 400 2129
192.241.202.68 - - [26/Sep/2023:06:12:52 +0900] "GET / HTTP/1.1" 404 750
113.215.181.18 - - [26/Sep/2023:08:10:28 +0900] "-" 400 2129
113.215.181.18 - - [26/Sep/2023:08:10:28 +0900] "-" 400 2129
113.215.181.18 - - [26/Sep/2023:08:10:28 +0900] "-" 400 2129
113.215.181.18 - - [26/Sep/2023:08:10:28 +0900] "-" 400 2129
83.97.73.87 - - [26/Sep/2023:08:26:55 +0900] "GET /jars HTTP/1.1" 404 754
87.251.64.11 - - [26/Sep/2023:08:55:39 +0900] "-" 400 2129
159.65.48.94 - - [26/Sep/2023:11:33:25 +0900] "-" 400 2129
142.93.228.238 - - [26/Sep/2023:12:12:17 +0900] "GET / HTTP/1.1" 404 750
127.0.0.1 - - [26/Sep/2023:14:12:25 +0900] "GET / HTTP/1.1" 404 750
0:0:0:0:0:0:0:1 - - [26/Sep/2023:14:12:25 +0900] "GET /controller/WEB-INF/views/boardForm.jsp HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [26/Sep/2023:14:12:25 +0900] "GET /favicon.ico HTTP/1.1" 404 761
0:0:0:0:0:0:0:1 - - [26/Sep/2023:14:12:27 +0900] "GET /controller/WEB-INF/views/boardForm.jsp HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [26/Sep/2023:14:12:52 +0900] "GET /controller/ HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [26/Sep/2023:14:13:16 +0900] "GET /controller/boardList HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [26/Sep/2023:14:13:26 +0900] "GET /controller/BoardController.do HTTP/1.1" 404 721
127.0.0.1 - - [26/Sep/2023:14:46:20 +0900] "GET / HTTP/1.1" 404 750
0:0:0:0:0:0:0:1 - - [26/Sep/2023:14:46:21 +0900] "GET /controller/WEB-INF/classes/com/board/controller/BoardController.java HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [26/Sep/2023:14:46:21 +0900] "GET /favicon.ico HTTP/1.1" 404 761
0:0:0:0:0:0:0:1 - - [26/Sep/2023:14:46:37 +0900] "GET /controller/ HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [26/Sep/2023:14:46:37 +0900] "GET /favicon.ico HTTP/1.1" 404 761
0:0:0:0:0:0:0:1 - - [26/Sep/2023:14:46:40 +0900] "GET /controller/ HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [26/Sep/2023:14:46:45 +0900] "GET /controller/boardSelectList.do HTTP/1.1" 200 1219
0:0:0:0:0:0:0:1 - - [26/Sep/2023:14:47:35 +0900] "GET /controller/boardSelectList.do HTTP/1.1" 200 1219
0:0:0:0:0:0:0:1 - - [26/Sep/2023:14:47:36 +0900] "GET /controller/boardSelectList.do HTTP/1.1" 200 1219
0:0:0:0:0:0:0:1 - - [26/Sep/2023:14:47:37 +0900] "GET /controller/boardSelectList.do HTTP/1.1" 200 1219
